asset,family,split,days,sharpe,max_dd,total_ret,cagr,exposure,n_trades,win_rate,win_ci_lo,win_ci_hi,bh_ret,bh_sharpe,bh_max_dd
DYDX,alt,IS,304,2.8374376086224284,-0.08724360211078197,1.0314370422337906,1.3418902743230343,0.16447368421052633,23,0.7391304347826086,0.5352960945624944,0.8745155411075104,0.29784824462061166,0.784183310714807,-0.4297277409860192
ADA,alt,IS,304,2.4950660078743665,-0.13302228062146115,0.879357510881386,1.1330034313552608,0.21710526315789475,24,0.7083333333333334,0.508319363412903,0.8508553966583573,0.4421951219512188,0.9734472635378103,-0.4013353115727004
XRP,alt,IS,304,2.3612072564285715,-0.05457825389970172,0.36977207662099376,0.4590422585193148,0.13815789473684212,24,0.5416666666666666,0.35074553553106635,0.7210894164831857,0.1624517788255444,0.5563325254340609,-0.42132227372529896
NFP,alt,IS,60,2.3155119899633223,-0.05189937665087063,0.09227719198396178,0.7107698842004733,0.16666666666666666,4,0.75,0.3006360524426366,0.9544139373553637,-0.34416693396676257,-1.1531657042661727,-0.5093512974051896
TLM,alt,IS,304,2.166180457602675,-0.18327973691845145,0.6973694446386496,0.88748202566662,0.18421052631578946,24,0.7083333333333334,0.508319363412903,0.8508553966583573,-0.06495468277945726,0.278427514047564,-0.5219611848825331
DOGE,meme,IS,304,2.1619632983666146,-0.09248522473870457,0.4437242466820557,0.5541252775649734,0.18421052631578946,29,0.6551724137931034,0.47344776507155983,0.8005949125080951,0.0748783227255716,0.43432936387663496,-0.29273060476481405
SOL,alt,IS,304,2.1611583848579294,-0.17039032871482096,0.637553289018373,0.8079043429347692,0.13486842105263158,18,0.5555555555555556,0.3371606942825164,0.7544076889861088,3.6316025067144126,2.50583353156226,-0.3791773778920309
NEAR,alt,IS,304,2.1479970375037314,-0.1499819177416546,0.6653175990898654,0.8447699166297045,0.20065789473684212,28,0.5714285714285714,0.390704789856154,0.7349170381926877,0.9261570462818502,1.3485387924990295,-0.49018595041322344
BNB,alt,IS,304,2.0324215570999637,-0.0807424726220044,0.33020832425453994,0.4085916824271911,0.22039473684210525,28,0.6428571428571429,0.4582997758222723,0.7929438802754113,0.17407071622846892,0.6578579868061933,-0.39229629629629637
TRX,alt,IS,304,1.9175464264663231,-0.12665893323742572,0.37075068272874634,0.46029389406138654,0.3026315789473684,33,0.6363636363636364,0.46615872621534094,0.7781303383204013,1.0930656934306557,2.680622756652606,-0.1579966126300506
XLM,alt,IS,304,1.8886235809184484,-0.0938036773287727,0.3238866472731412,0.40055809258360964,0.14144736842105263,15,0.7333333333333333,0.4804911034231324,0.8910272389681718,0.23647932131495497,0.6520220945783379,-0.3713235294117643
AVAX,alt,IS,304,1.8453945763453508,-0.15246670009045593,0.49815801821416716,0.6247428933140791,0.2138157894736842,25,0.6,0.40739127785127344,0.7659694233580909,1.1139954853273073,1.5075516625354166,-0.5000000000000004
LINK,alt,IS,304,1.733971937207583,-0.11126649760699103,0.5358060095728749,0.6738873406698676,0.21052631578947367,29,0.5517241379310345,0.37547667068067625,0.715870888512542,1.6110181311018112,1.8496075892850392,-0.3030737950005977
BTC,major,IS,304,1.7308350033434972,-0.07061832674255153,0.34386813526717597,0.42597671157228834,0.18092105263157895,20,0.55,0.3420820083075997,0.7418049791429071,0.7551404228377603,1.8860478613550482,-0.2000271505613077
WLD,alt,IS,216,1.6869070513561824,-0.3393494777331004,0.9927747663710071,2.2064829030546704,0.1712962962962963,16,0.5,0.2799923761135083,0.7200076238864916,2.9564814814814815,2.228411490448507,-0.5843621399176955
ETH,major,IS,304,1.502885822494263,-0.11861770645231584,0.29060580662376845,0.3583923534485225,0.22039473684210525,28,0.6071428571428571,0.42408726034906297,0.7643454817241996,0.630760525598842,1.5334491392298089,-0.23191934107927725
RIF,alt,IS,304,1.402489838526724,-0.14520800254256128,0.4266048736127077,0.5320253785483544,0.08223684210526316,13,0.5384615384615384,0.2914343243183205,0.7679424569851186,0.5579984836997733,1.0008142685298203,-0.57602143335566
ZEC,alt,IS,304,1.3105137026918328,-0.22558681449615214,0.321287021352336,0.3972567176334212,0.21710526315789475,24,0.7083333333333334,0.508319363412903,0.8508553966583573,-0.27270341207349147,-0.25324247819935813,-0.5018134715025909
PEPE,meme,IS,296,1.2203504599566166,-0.11875282895388573,0.4790254456012524,0.6203108755837405,0.06756756756756757,17,0.29411764705882354,0.13279793865556402,0.5313353332621391,-0.6300268096514743,-0.18443898290844565,-0.7777777777777778
AAVE,alt,IS,304,1.1487075038483288,-0.1479472189568709,0.31422291131810254,0.38829229292874134,0.20065789473684212,28,0.5714285714285714,0.390704789856154,0.7349170381926877,0.40504201680672147,0.915807339712641,-0.3574158550117128
UNI,alt,IS,304,1.1429074983791236,-0.17779039561242205,0.40348878583612025,0.502268580671086,0.2730263157894737,29,0.5517241379310345,0.37547667068067625,0.715870888512542,1.0054005400540071,1.3066668195444768,-0.4186602870813396
SUI,alt,IS,298,0.6701407385220631,-0.1267028324958388,0.115418347089697,0.14315027654327195,0.08389261744966443,14,0.5714285714285714,0.3259026690286936,0.7861949006959948,0.17401541095890183,0.6891871595687632,-0.7216417349470046
SYN,alt,IS,304,0.23455306110083388,-0.26274191374389766,0.020625379359497042,0.02481499027915235,0.08552631578947369,11,0.5454545454545454,0.28008775568998817,0.7872904245601196,-0.15271573007288985,0.33223788354598843,-0.671279436756494
LTC,alt,IS,304,-0.11417186706312296,-0.20994133457824904,-0.04935363727100561,-0.05895947160386861,0.23355263157894737,28,0.42857142857142855,0.2650829618073122,0.609295210143846,-0.21809874066644486,-0.1779644722143043,-0.48181738135070895
PEPE,meme,OOS,909,0.9295373388724621,-0.2371059173283433,1.0004719798986774,0.32104246866411557,0.09020902090209021,28,0.6785714285714286,0.4933850455563118,0.8206695245657927,1.9492753623188426,0.9513603259871718,-0.9124528301886793
SYN,alt,OOS,909,0.5803180399895163,-0.5284948780770073,0.5593348651635843,0.19528897063590445,0.14411441144114412,39,0.5641025641025641,0.40975423474522105,0.7069547583829534,-0.8465519633689468,0.3318534150598033,-0.9849795658404543
TRX,alt,OOS,909,0.5711904455024168,-0.18742455432343896,0.3183225022493634,0.11736102328820075,0.32123212321232125,50,0.52,0.3851151225880844,0.6520308760449429,1.5007265329846016,0.7767339967556735,-0.5108494921514313
ETH,major,OOS,909,0.5120105465373048,-0.37559301476676,0.37061751319503267,0.13495170823243208,0.24312431243124313,51,0.5294117647058824,0.3952307134472659,0.6594722857358359,-0.22167962475101088,0.19994984909211944,-0.675530362763785
SOL,alt,OOS,909,0.5025491615679931,-0.41448465839290394,0.3575298924849899,0.13058759265046227,0.16721672167216722,42,0.5238095238095238,0.3772221394020704,0.6664063552403504,-0.09316710157533259,0.34821050384276675,-0.7625300606939718
BNB,alt,OOS,909,0.42170745947000804,-0.2900748912972043,0.21989490761391672,0.08308344375846821,0.2563256325632563,51,0.5686274509803921,0.43265061235058067,0.694989719076657,0.789652509652512,0.7023255328366474,-0.5819795013002897
XRP,alt,OOS,909,0.4147719921796935,-0.28239662273811716,0.24919373372191544,0.09345456889960668,0.18041804180418042,47,0.5106382978723404,0.37242217589372884,0.6472467566339649,1.6952433628318517,0.8825079336126658,-0.7201723749436684
AAVE,alt,OOS,909,0.39207005984347865,-0.276425380984051,0.21412819265409855,0.08102465208887266,0.1573157315731573,33,0.5757575757575758,0.4080697369146003,0.7276464100497011,0.2602671451355656,0.5727659428377097,-0.8410471695653308
UNI,alt,OOS,909,0.3886375237675665,-0.38813136902773615,0.20621099252761144,0.07818855431363692,0.18701870187018702,43,0.5348837209302325,0.38915389728872773,0.6748917373608144,-0.6141831238779178,0.12764208278384234,-0.8712504031824538
BTC,major,OOS,909,0.33491555566707026,-0.2857552991824611,0.14495300002834943,0.05585822119172423,0.26512651265126513,44,0.5,0.35831521095931473,0.6416847890406853,0.48997976950966193,0.5728691757725015,-0.529717659135106
ADA,alt,OOS,909,0.29072248260324607,-0.3133016808433282,0.0977387945627326,0.03815447363302171,0.19691969196919692,40,0.475,0.32935229550181694,0.6250289314607027,-0.6177913072890244,0.0370131679648689,-0.8828799478742465
TAO,alt,OOS,863,0.16955734915913837,-0.5851398695498782,-0.03991062738957296,-0.017078493682441742,0.13789107763615296,34,0.5588235294117647,0.3945361778918369,0.7111675978470325,-0.6433611289287993,0.09897725566669507,-0.7952026932248558
WLD,alt,OOS,909,0.15437064577000184,-0.6008458648529189,-0.14507840883920742,-0.06099983160634337,0.1705170517051705,44,0.5681818181818182,0.42223890740554393,0.7031749583514542,-0.9546220454013574,-0.2800682970947818,-0.9799760499529553
ZEC,alt,OOS,909,0.15273681022694485,-0.365334724069721,-0.0617455351736359,-0.025267099016748507,0.2299229922992299,44,0.5909090909090909,0.44409492646606574,0.7231235612099317,27.948394081559062,1.6711755764904674,-0.7178287921046986
SUI,alt,OOS,909,0.12399565202365509,-0.5739843916266958,-0.08281802424445395,-0.03411731591099776,0.1639163916391639,37,0.4864864864864865,0.33446153327211037,0.6410536277401908,-0.5051959890610767,0.22626295604959043,-0.8767910475974443
AVAX,alt,OOS,909,0.054350441575289996,-0.40876906820028636,-0.10755361811504072,-0.04466268336065282,0.1562156215621562,40,0.525,0.37497106853929735,0.6706477044981831,-0.7999733048585164,-0.2974851586395755,-0.9027704485488128
ENA,alt,OOS,872,0.037338937169564726,-0.6111588289384916,-0.2204878310949867,-0.09901108559730887,0.09977064220183486,32,0.4375,0.2816508596944317,0.6067469796877387,-0.7958709677419354,0.1561513216519056,-0.951129363449692
NEAR,alt,OOS,909,0.030366306869389313,-0.5068062249728957,-0.17728406579511957,-0.07536690202720697,0.14411441144114412,43,0.46511627906976744,0.3251082626391856,0.6108461027112723,-0.4932505399568031,0.2551536915381296,-0.8914343753526689
DYDX,alt,OOS,909,-0.006030974728786061,-0.48141202566075236,-0.20268399605532328,-0.08693711746627963,0.20462046204620463,39,0.5128205128205128,0.3619910864569657,0.661350712168669,-0.9656079115764981,-0.7432142672789374,-0.9817349507896544
LINK,alt,OOS,909,-0.14669857497083447,-0.4440760440119761,-0.3337712131406727,-0.15047197472640206,0.26182618261826185,48,0.4375,0.3070105464041092,0.5772522849899835,-0.37781101436889,0.20167933424600604,-0.7537777777777782
LTC,alt,OOS,909,-0.23995856032164306,-0.5885938663534416,-0.34386013991206543,-0.1556612621001373,0.23102310231023102,47,0.44680851063829785,0.31410747474911305,0.5875478626124176,-0.25228050171037597,0.20504791090550392,-0.7014010507880912
NFP,alt,OOS,860,-0.31301571319844856,-0.6423335268834038,-0.5489109353571511,-0.28671599162930017,0.23488372093023255,46,0.45652173913043476,0.32154510421121985,0.5982006503391957,-0.9904165179574625,0.07452302667691146,-0.9958560096752392
DOGE,meme,OOS,909,-0.36308460869132375,-0.563262866683355,-0.4133460544528067,-0.1927722727530976,0.1617161716171617,36,0.5277777777777778,0.3700567162693947,0.6801420709279067,0.06664344595379013,0.48489804236891015,-0.8518494692827279
XLM,alt,OOS,909,-0.46282443030695186,-0.43790026194038545,-0.4232847160702069,-0.19829161056095868,0.2068206820682068,45,0.4444444444444444,0.30938708549039107,0.5882411658363468,0.6775300171526553,0.6558216922511472,-0.7440242597217268
TLM,alt,OOS,909,-0.612627119998682,-0.6143447966438461,-0.5885004898601883,-0.2999101223556385,0.19141914191419143,46,0.5652173913043478,0.4224718277662822,0.6979095404080942,-0.9231556273559506,-0.26492386358638365,-0.9736150234741785
RIF,alt,OOS,851,-0.7824753874289978,-0.6292140091517322,-0.6005703431073423,-0.3253867126670654,0.1797884841363102,43,0.4883720930232558,0.34617209277756,0.6324793623392592,-0.6102189781021903,0.19081324748158635,-0.9059745347698337
