fold,n,base_rate,auc,brier,logloss,acc@0.5,warmup
1,3432,0.42132867132867136,0.5918155999325848,0.23871753291078918,0.6702106245266857,0.5868298368298368,True
2,3562,0.6165075800112296,0.5443569034074998,0.26688113419267306,0.729314756254004,0.48006737787759685,True
3,3881,0.40273125483122907,0.5572994898750605,0.2891926976177158,0.8304147990390783,0.46199433135789747,False
4,3952,0.5769230769230769,0.5488303219172332,0.26032329494196765,0.7158563971384561,0.4956983805668016,False
5,3952,0.39954453441295545,0.5699588493840485,0.2576310896035078,0.7101938800425878,0.45318825910931176,False
6,3952,0.4749493927125506,0.5498664236059849,0.24810013475174672,0.6893384151953641,0.5371963562753036,False
7,3952,0.3825910931174089,0.5756789942753058,0.24542000262152652,0.68395578965644,0.5501012145748988,False
8,3827,0.49385941991115756,0.5480334232012084,0.2509088366157975,0.6950003821524352,0.5071857852103475,False
OOS(3+),23516,0.4550518795713557,0.5209950623595733,0.25854449259252876,0.7205994085117302,0.5009780574927709,False
OOS-weekly,3352,0.441527446300716,0.5183352823977824,0.2555923355628169,0.7092524550784757,0.493436754176611,False
